表現 (問題となった広告表現など),製品カテゴリ,判定,理由,代替表現（可能な場合）
膣トリートメントオイル,化粧品 (オイル),微妙 (用法次第),膣内使用ならNG。膣外使用ならOK。用法を明確化推奨。,デリケートゾーン用トリートメントオイル
コラム方式 (広告と別枠で一般的効能説明),化粧品 (クリーム),OK,広告部分と明確に分離し、リンク等がなければOK。,-
種類別名称「クリーム」(紫外線カット効果あり),化粧品 (クリーム),OK,カテゴリーとして意味があり実態を反映していればOK。「日焼け止め」でなくても可。,-
SUPER COLLAGEN CREAM (パッケージデザイン文字),化粧品 (クリーム),条件付きOK,特記表示にあたるため、配合目的「COLLAGEN (保湿成分として配合)」等の併記が必要。,-
万能クリーム (商品名),化粧品 (クリーム),NG,最大級表現であり適正広告基準違反。,お宝クリーム
クリームをお口の中に塗って口腔保湿！,化粧品 (クリーム),NG,口腔内 (粘膜) への塗布は化粧品範囲外。,-
白髪染めクリーム広告で「染める」「ヘアカラー」 (一般化粧品),化粧品 (クリーム),OKに近い (媒体審査注意),公正競争規約ではOKだが、業界自主基準等でNGとされる可能性あり。※「物理的に染める」旨の注記推奨。,-
マタニティクリーム、妊娠時の敏感肌に,化粧品 (クリーム),OK,妊娠時の乾燥に対する保湿というロジックならOK。※「妊娠時の肌の乾燥を考慮」等の注記推奨。,-
妊娠線対策,化粧品 (クリーム),NG,OKロジックが成立しない。,-
バストトップにピンク△△（クリーム）,化粧品 (クリーム),微妙 (黒ずみケアならOK),美白効果は無理。着色効果ならOK。黒ずみケアなら※「汚れや古い角質による」と注記。,-
バスト用クリーム,化粧品 (クリーム),OK,部位用表示はOK。,※「バストアップ用」はNG。
体臭を元からカットする消臭クリーム××,化粧品 (クリーム),NG,一般化粧品では臭いを消すは言えない。,体臭もカバーするマスキングクリーム××
カラダの中から溢れるバラの香り、フレグランスクリーム××,化粧品 (クリーム),NG,「カラダの中から溢れる」は化粧品の芳香効果 (香りを足す) を超える。,体臭、口臭、加齢臭に、フレグランスクリーム××
商品名「リッチパワーリフトクリーム」,化粧品 (クリーム),微妙,「リフト」が「肌を引き上げる」意味ならNG。「肌のコンディションを高める」意味ならOKに近い。,-
ほうれい線ケア,化粧品 (クリーム),微妙,「ほうれい線」は「シワ」とも「部位」とも取れる。部位の意味ならOKだが担当官による差あり。,ほうれい線周りに (同様に微妙)
ほうれいに満足、豊麗に満足,化粧品 (クリーム),微妙 (ほうれい) / OK (豊麗),「豊麗」は意味が異なりOK。「ほうれい」はどちらとも取れNGリスクあり。,豊麗に満足
小ジワの悩みに！ (見出し、抗シワ試験済みクリーム),化粧品 (クリーム),NG,粧工連通知で「小ジワ」のみの強調、悩み解消表現はNG。,「乾燥による小ジワの悩みに*！ *乾燥小ジワを目立たなくします」 (注釈付き)
花粉やほこりふきなどの微粒子汚れから肌をガード (汗ふきシート),化粧品 (シート),条件付きOK,化粧品効能(27)「皮膚を保護する」で説明可能だが、物理的保護の作用機序説明とエビデンスが必要。「雑菌」「ウイルス」はNG。,花粉・ちり・ホコリなどの微粒子汚れから肌を守る
デトックス (ジェル・クリーム),化粧品 (ジェル・クリーム),NG,解毒は効能範囲外。粧工連ガイドラインでもNG。,老廃物を排出 (※汚れや古い角質という趣旨と注記要)
スリミングジェル,化粧品 (ジェル),NG,粧工連ガイドラインで「スリミング」は不可。,美しいシルエットに (ギリギリ)
排出、浄化、還元、スッキリ (マッサージジェル),化粧品 (ジェル),条件付きOK,対象物 (汚れ、皮脂、古い角質) を明示し、除去の意味と注釈すればOK。,ボディマッサージで不要物を浄化* (*汚れや皮脂を除去すること)
毒素を排出 (マッサージジェル),化粧品 (ジェル),NG,上記ロジックで説明不可。,-
フェイスラインに小顔ジェル,化粧品 (ジェル),NG,「小顔」はNG。,-
フェイスラインにスリミングジェル,化粧品 (ジェル),NG,「スリミング」は適正広告ガイドラインで不可。,-
目元に塗るジェル状美容液で物理的にシワをカバー,化粧品 (ジェル美容液),条件付きOK,物理的なメーキャップ効果として可能だが、事実である根拠が必要。「隠す」「なくなる」はNG。「カバー」も完全カバーの意味ならNG。「対策」「目立たなくなる」は可。,-
オーガニックシャンプー (オーガニックエキス少量配合),化粧品 (シャンプー),注意必要,「オーガニック」表示ルールなし。少量配合で「オーガニックシャンプー」は景表法リスク。配合割合や成分注釈推奨。,-
美容師がシャンプーのコメント,化粧品 (シャンプー),NG (原則) / 条件付きOK,使用コメントは体験談禁止。顧客の変化を実況する形式ならOKの可能性 (推薦と見られないよう注意)。,-
白髪を改善し、黒髪にするシャンプー,化粧品 (シャンプー),NG,色の変化は言えない。カラーリングによる物理的着色のみ可。,黒髪を美しくはぐくむ、白髪を若々しい印象にする、白髪に艶を与える
抜け毛を防止するミラクル育毛剤と共に、ミラクルシャンプーもお使い下さい,化粧品 (シャンプー),OKに近い,シャンプー自体の効能ではないため。※「ミラクル」は最上級類似でNG。「OMG」等に変更要。,-
地肌に栄養を与える (シャンプー),化粧品 (シャンプー),NG,厚労省通知で「栄養補給」は不適正表現。,-
髪のサプリ (ヘアケア商品),化粧品 (シャンプー等),OKに近い,「サプリ」に法的定義なく、美容目的の成分補給と解釈可能。食品と誤認されないよう注意。,-
ドライマウスでお悩みの方へ、保湿スプレーでお口をうるおす,化粧品 (スプレー),NG (ドライマウス部分),「ドライマウス」は疾病名 (口腔乾燥症) のためNG。「お口をうるおす」はOK。,ドライなマウス、乾燥した口腔
髪の芯まで浸透 (ヘアートニック・一般化粧品),化粧品 (トニック),OK,粧工連ガイドラインで認められている。,-
ヘア―トニックでリペアー、インプルーブ,化粧品 (トニック),OKに近い,回復・改善には至らないため。髪の「リペア」「補修」は物理的効果として可能。,-
ヘア―トニックで髪の毛を太くする,化粧品 (トニック),NG,育毛剤でもNG。,毛力UP (イメージ的ならOK)
ヘア―トニックで抜け毛防止,化粧品 (トニック),NG,部外品(育毛剤)限定。,健やかな髪を育む (微妙)
薄毛が気になるところにお使い下さい (ヘアートニック・一般化粧品),化粧品 (トニック),NG,都庁講習会で育毛効果暗示としてNGとされた。,毛髪の土台を整える (ギリギリ)
かかとの垢や皮がボロボロとれる (ピーリング剤),化粧品 (ピーリング剤),OKに近い,「垢や皮」が汚れや古い角質であれば角質層までの作用としてOK。,-
小顔メイク、矯正ファンデ (アルビオン),化粧品 (ファンデーション),微妙 (矯正部分),「小顔メイク」は色彩効果ならOK。「矯正」は物理的効果のニュアンスがあり、狭義の物理的効果がないとNG。,-
ＰＲＯが仕立てたようにフォルムまでもきれいに魅せる美しさを形状記憶した強靭なヴェール。『小顔』といえばタイトルフィルムファンデーション。,化粧品 (ファンデーション),OK (要エビデンス),色彩効果または物理的効果として、エビデンスがあればOK。後者のエビデンスは難しい。,-
フェイスシートでニキビ予防 (洗顔料として),化粧品 (フェイスシート),NG (原則),洗顔料としての実態がなく、ふき取り行為による効果としてもエビデンス必要。,-
夏に傷んだ髪を修復,化粧品 (ヘアケア),NG,元に戻る表現は不可。,夏に傷んだ髪を補修
毛髪の紫外線防止効果,化粧品 (ヘアケア),条件付きOK,定められた測定基準はないが、カットのロジックで言及可。独自エビデンス必要。,-
朝用フェイスマスク,化粧品 (マスク),OK,用法用量表現。「朝専用」はNG。,-
まつ毛リキッド××でまつ毛グロー,化粧品 (リキッド),NG,「グロー」は育毛に匹敵し部外品限定。,健やかに保つ
安心・安全の商品 (化粧水),化粧品 (化粧水),NG,安全性の保証となり適正広告基準違反。,良心設計の商品
目の下がふっくら (化粧水),化粧品 (化粧水),微妙 (注記付き),機能的表現だが、「＊角層が保湿で潤うこと」と注記すれば微妙。,-
××化粧水でコラーゲンを生み出す。,化粧品 (化粧水),NG,機能的表現であり、効能範囲外。,※部外品の作用機序としてならOK。
ビタミンC入りで肌にやさしい (化粧水プロモーション),化粧品 (化粧水),OKに近い,成分に対する「肌にやさしい」は虚偽・不正確でなければOK。,-
パラベンフリーで肌にやさしい (化粧水プロモーション),化粧品 (化粧水),NG,パラベン含有品への他社誹謗にあたる。,-
お肌のチカラがしっかり機能するように作られた化粧水,化粧品 (化粧水),NG,「機能」は刺激的なワード。,お肌のチカラがしっかり発揮させる、お肌のチカラをしっかりサポートする
化粧水△△でお肌の酸化を防ぎましょう,化粧品 (化粧水),NG,酸化の予防もNG (都庁見解)。,環境ダメージからお肌を守る
化粧水△△でお肌のサビを防ぎましょう,化粧品 (化粧水),NG,サビの予防もNG (都庁見解)。,環境ダメージからお肌を守る、お肌を還元
ターンオーバーの乱れを防ぐ (化粧水),化粧品 (化粧水),OKに近い (ギリギリ),乱れるのを整えるのはNGだが、乱れないようにする趣旨ならOK。「保湿によりターンオーバーをサポートする」ならギリギリ。,保湿によりターンオーバーをサポートする
たるんだ肌へ (化粧水),化粧品 (化粧水),NG,たるみ改善と解釈されるため。,ハリのない肌へ、ハリなし肌へ
リフトアップ (化粧水),化粧品 (化粧水),NG,たるみ改善と解釈されるため。,ハリのない肌へ
気になる目元の専用化粧水,化粧品 (化粧水),NG (「専用」部分),「目元」という部位指定はOKだが、「専用」は適正広告ガイドラインでNG。,目元のための化粧水
化粧水でクスミをとる,化粧品 (化粧水),NG,「洗えば取れる」ロジックが成り立たず、肌内部の改善も効能範囲外。,化粧水でクスミのケア (ギリギリ)、化粧水で肌の粉吹きを抑える
フェロモン香水で「恋愛運が高まり結婚できた」体験談,化粧品 (香水),NG (景表法),「恋愛運」はOKだが、「結婚できた」は具体的便益で景表法対象 (根拠なければNG)。,-
口腔内細菌数を測定し、使用前後で変化を広告 (オーラルケア商品),化粧品 (歯磨き剤等),NG,実験例示は保証表現にあたりNG。一般化粧品で除菌等の作用も言えない。,-
石けん（一般化粧品）で殺菌！,化粧品 (石鹸),NG,殺菌は薬用化粧品 (殺菌剤主剤) 限定。,石けん（一般化粧品）で抗菌！
顔ダニキラーの××石けん（一般化粧品）,化粧品 (石鹸),NG,「キラー」は殺菌を意味し、薬用限定。,顔ダニを寄せ付けない××石けん（一般化粧品）
石鹸でクスミをとる,化粧品 (石鹸),条件付きOK,外部的な汚れや老廃物によるクスミを洗って取る趣旨ならOK。※「汚れや老廃物によるもの」等の注記が必要。,-
頭皮美容液でフケ・カユミ訴求,化粧品 (頭皮美容液),OK (薬機法) / 要エビデンス (景表法),化粧品カテゴリーの垣根なく効能(11)(12)は訴求可能。景表法上エビデンス推奨。,-
導入液Aは美容液Bの浸透を高める (ブースター),化粧品 (導入液),NG (薬機法),化粧品56効能外。,次に使う美容液の浸透を助ける (※商品名出さず)
全成分表示しない「キャリーオーバー成分」の判断 (製造助剤の界面活性剤),化粧品 (入浴料),NG,効果(剥離促進等)を発揮させるための成分はキャリーオーバー定義外。,全成分表示に記載する。
成分特記表示 (コラーゲン、ヒアルロン酸),化粧品 (美容液),条件付きOK,強調表示でなければ配合目的併記不要 (文章中の記載は特記表示にあたらない)。強調する場合は配合目的 (例: 保湿成分) が必要。,-
パッチリ二重 (美容液),化粧品 (美容液),条件付きOK,粘着効果による物理的効果ならOK。※「＊粘着効果」と注記推奨。,-
美容液でコラーゲンを補給する,化粧品 (美容液),OK,機能的表現ではないため。,-
美容液がコラーゲンを育む,化粧品 (美容液),微妙 (ギリギリ),「産む」より弱いが機能的表現に近い。,-
美容液がコラーゲンをプロデュースする,化粧品 (美容液),微妙 (さらにギリギリ),「育む」よりさらに機能性が弱いため。,-
美容液がコラーゲンを生成する力を守る,化粧品 (美容液),微妙 (アウトに近い),「生成する」とは言っていないが、示唆が強い。,-
美容液で大人ニキビ防止 (一般化粧品),化粧品 (美容液),NG,一般化粧品で「ニキビ予防」が言えるのは洗顔料のみ。,オイリートラブルをケア
美容液で大人ニキビを撃退,化粧品 (美容液),NG,薬用でも「予防」まで。,美容液で大人ニキビを予防 (薬用の場合)
ニキビ (美容液・一般化粧品),化粧品 (美容液),NG,一般化粧品で「ニキビ」が言えるのは洗顔料限定。,※美容液を洗顔料として使用するなら可。
敏感肌用美容液,化粧品 (美容液),OK (要エビデンス・注記),公正競争規約で認められている。パッチテスト等のエビデンスと「〇時間パッチテスト済み」等の注記が必要。,-
美容液××が皮脂の分泌をコントロールします。,化粧品 (美容液),NG,機能的な表現のため。,皮脂のバランスを整える
美容液が皮脂のバランスを整える,化粧品 (美容液),条件付きOK,肌表面の皮脂状態調整なら機能的表現ではなくOK。,-
深い溝を埋める美容液,化粧品 (美容液),NG,メイク系ならOKだが、美容液ではシワ解消の暗示となり不可。,表情線に (ギリギリ)
美容液広告の「くすみ」注釈：「乾燥により肌がくすんで見える状態」または「汚れや古い角質による」,化粧品 (美容液),どちらもOK,どちらも化粧品の効能範囲 (保湿、古い角質ケア) で説明可能。事実に基づき選択。,-
更年期の女性のホルモンバランスの乱れが原因→本品で解決→おすすめ (育毛剤),化粧品 (部外品),NG (ホルモンバランス解消部分) / OK (作用機序として、要エビデンス),ホルモンバランス解消は承認効能外。作用機序 (ホルモンバランス乱れ解決→育毛) としてならエビデンスあれば訴求可。,-
氷点下 (l-メントール配合育毛剤),化粧品 (部外品),NG,-,-
染毛剤で「手軽」「やさしい」,化粧品 (部外品),NG (業界自主基準),工業会自主基準でNG。,※染毛料(化粧品)なら制限なし。
有効成分○○が頭皮の皮脂腺を正常化して油っこい頭皮を解消 (育毛剤),化粧品 (部外品),NG (正常化部分) / OK (作用機序として、要エビデンス),「皮脂腺正常化」は言えない。「油っこい頭皮をスッキリ」ならOK。作用機序としてなら「正常化」もエビデンスあれば可。,有効成分○○が油っこい頭皮をスッキリさせます
コラーゲン産生、繊維芽細胞を活性化 (シワ改善部外品の作用機序として),化粧品 (部外品),OK (要エビデンス),部外品はエビデンスがあれば作用機序を訴求可能。承認効能 (シワ改善) の範囲を超えないこと。,-
育毛剤ビフォーアフター: 分け目から毛が生える,化粧品 (部外品),NG,承認効能「発毛促進」を超え「発毛」を示唆するため。,-
育毛剤ビフォーアフター: 毛が太くなる,化粧品 (部外品),NG,承認効能外。,-
育毛剤ビフォーアフター: 髪のボリュームアップ (ぺっちゃんこ→ボリューミー),化粧品 (部外品),OK,承認効能「毛生促進」の範囲内。,-
冷凍庫での保管をおすすめ (冷感育毛剤),化粧品 (部外品),OK (使用感レベルなら),※「満足度アップ」等は使用感超えるためNG。,冷やして使うことで快適に使える、冷やして使用すると冷却刺激によって快適に使用できる
人気NO1 (育毛剤LP),化粧品 (部外品),OK,「人気」は効能効果・安全性ではないため、適正広告基準違反ではない。,-
育毛剤広告で保湿効果 (例: 肌を潤わせ乾燥トラブルを防ぐ),化粧品 (部外品),NG (原則),育毛剤は薬用化粧品ではないため、化粧品の効果 (保湿) は原則謳えない。,※有効成分のサポート (頭皮保護、使用感向上) 程度なら可。作用機序としてならエビデンスあれば可。
生薬由来の有効成分配合 (育毛剤),化粧品 (部外品),OK,事実で有効成分であればOK。,-
保湿成分〇〇エキス配合 (湿潤剤として承認),化粧品 (部外品),OK,湿潤剤と保湿成分は同義のため。,-
アイスタイプ、冷感、ICE、ひんやり (l-メントール配合育毛剤),化粧品 (部外品),OK,実際に冷感の使用感があればOK。,-
手足の冷えに (入浴剤・部外品),化粧品 (部外品),NG,承認効能「冷え症」を逸脱。部位限定不可。,冷え症に
複数の承認効能のうち特定の一つを広告,化粧品 (部外品),OK,適正広告基準で認められている。,-
育毛剤の無料貸し出し→使用分補充・費用請求 (美容室),化粧品 (部外品),条件付きOK,化粧品の分割販売にあたり、顧客の求めに応じる、法定表示、衛生環境保持が必要。,-
女性専用 (育毛剤),化粧品 (部外品),NG (粧工連),粧工連ガイドラインでNG。,女性用
円形脱毛症に (育毛剤),化粧品 (部外品),NG,特定の脱毛症への効果は医薬品限定。,脱毛に
育毛剤××で白髪予防,化粧品 (部外品),NG,育毛剤でも白髪予防は言えない。「豊かな黒髪を育てる」程度。,豊かな黒髪を育てる
発毛抑制 (医薬部外品),化粧品 (部外品),NG,除毛はOKだが発毛抑制は異なる。,ムダ毛が気にならなくなった
ゲルマで発汗 (入浴剤・部外品),化粧品 (部外品),NG,発汗は言えるが、ゲルマによる発汗は言えない。,ゲルマ風呂でリフレッシュ。有効成分△△が温浴効果を高め、発汗を促します。
ニキビに (医薬部外品化粧水),化粧品 (部外品),条件付きOK,「防ぐ」か「治す」か不明瞭。「ニキビ防止の意味です」と注釈し、部外品明記が必要。,ニキビを防ぐ
有効成分が真皮まで浸透 (シワ改善部外品),化粧品 (部外品),OK (要エビデンス),部外品はエビデンスがあれば作用機序として訴求可能。,-
深いシワを改善 (シワ改善部外品),化粧品 (部外品),微妙,「シワを改善」はOKだが、「深い」が効能逸脱・保証違反と見られる可能性。,”悩みの深い”シワを改善
薬用ハミガキ(洗口液)で非有効成分XYZの効果として「XYZとブラッシングで歯を白くする」,化粧品 (薬用),NG,ホワイトニング効果は有効成分によるもの。非有効成分の効果としては訴求不可。,-
薬用化粧品の一般化粧品的効果「保湿力UP」(美白美容液),化粧品 (薬用),OK,部外品本来の目的を隠蔽せず、保健衛生上問題なければOK。,-
薬用化粧品の一般化粧品的効果「爪の美白効果」(美白美容液),化粧品 (薬用),NG (通常),爪への用法が承認されていなければ不可。,-
背中ニキビ用 (薬用化粧水),化粧品 (薬用),NG (原則),背中ニキビ対象が承認されていなければNG。広告でもリスクあり。,-
強い効果 (薬用化粧品),化粧品 (薬用),NG (粧工連),粧工連ガイドラインでNG。,感動的効果、広く愛される効果
肌あれ (薬用化粧品の効能),化粧品 (薬用),NG (「肌あれ解消」は不可),薬用でも「肌荒れ防止」まで。,肌荒れを防ぐ
アクネ菌を殺菌 (薬用洗顔料),化粧品 (薬用),NG (通常),通常、薬用化粧品ではアクネ菌殺菌は承認されていない。,-
シミの記憶をゼロ化へ (美白美容液 HAKU),化粧品 (薬用),OKに近い,「シミをゼロへ」はNGだが、「記憶をゼロ化へ」は意味不明瞭なため不可ではない。,-
シミ抑制 (薬用美白化粧品),化粧品 (薬用),条件付きOK,「抑制」は「予防」とも「今あるシミを抑える」とも取れるため、「シミ予防」の注釈 (「日焼けによる」も含む) が必要。,シミ予防
夏のシミ対策 (薬用美白化粧品),化粧品 (薬用),NG (単独),「予防」省略はNG。,※「日焼けによるシミを防ぎます」という注釈を付ければOK。
△△（薬用化粧品）で、肌色が白くなった。,化粧品 (薬用),条件付きOK,※「メラニンの生成を抑え、日焼けによるシミ・ソバカスを防ぐ。」の注記が必要。,-
シミの根を絶つ (薬用化粧品),化粧品 (薬用),OK,「メラニンの生成を抑える」効果から説明可能。,-
美白ケア (美白剤・薬用化粧品),化粧品 (薬用),NG,「予防」しか言えないため「ケア」は逸脱。※「美白」には「メラニンの生成を抑え、シミ・ソバカスを予防」の注記も必要。,美白予防
薬用ハミガキ+LED照射でホワイトニング,化粧品 (薬用) / 医療機器,NG,薬用ハミガキは単体でホワイトニング可。LEDとの組み合わせは承認外。LED機器の効果も限定的。,-
化粧品+Somethingのセット (美白剤入り美顔器),化粧品 (薬用) + 医療機器,注意必要,美白剤の用法が承認制。「この美顔器専用」はNG。「この美顔器で使うと実力を発揮」のような表現。,-
着る化粧品 (アミノ酸由来成分でうるおい訴求),化粧品 / 衣料品,微妙 (ダブル表示推奨),成分効果なら化粧品、衣の効果なら衣料品。両方の価値がある場合は両方の表示をすべき。,-
歯磨き類で「美白」「ホワイトニング」,化粧品 / 化粧品 (薬用),OK,スキンケアとは異なり、「美しく白い」の意味で使用可。一般化粧品はブラッシング併用。,-
化粧品+サプリのセット広告,化粧品 + 健康食品・サプリメント,注意必要,全体で化粧品の効能 (例: 髪) を超えないように。サプリの効果が化粧品にもあると誤認させない構成。,-
へそゴマクリーナー (フォーム+綿棒),化粧品 + 雑貨,微妙 (医療機器リスク),綿棒挿入は粘膜損傷リスクあり医療機器扱いの可能性。コットン使用なら非医療機器OK。,コットンでふき取る形式に変更。
化粧品+Somethingのセット (化粧水を浴びせるシャワー),化粧品 + 雑貨,OK (要表示),化粧品としての法定表示 (製販、全成分等) が必要。,-
コラーゲン美容液とコラーゲンサプリを同一紙面で広告,化粧品・健康食品・サプリメント,注意必要,広告自体はOKだが、健食が「美肌」を標榜できないため、化粧品の美肌効果も謳えなくなる。,-
化粧品・部外品のビフォーアフター写真 (強烈な変化),化粧品・部外品,微妙 (保証禁止違反リスク),効能範囲内でも、強烈な変化は適正広告基準3(5)保証禁止違反とされる可能性あり。,-
"歯のホワイトニングB/Aコメント「3か月ぶりの歯科検診で""ずいぶん白くなったね""と言われました」",化粧品・部外品 (歯磨き等),OK,期間を直接示さずコメントで表現しているため。,-
化粧品等の体験談で効果効能を標榜,化粧品・部外品・医薬品・医療機器,NG,適正広告基準で原則禁止。,使用感 (スーッと伸びる等) のみOK。期待感、第三者トークはOK。
LED照射機器 (雑品) をホワイトニングジェル (化粧品/部外品) とセット販売,化粧品/部外品 + 雑貨,条件付きOK,セット販売自体はOKだが、LED照射をホワイトニング手法として説明するとNG。LEDは別目的 (メンテナンス等) で説明。,-
定期初回無料、2回目以降割引、初回解約時差額請求プラン,化粧品等,OK,通常価格分請求は過大な負担要求ではない。,※解約条件、差額請求について明確に記載必要。
注釈 (※) の仕方 (例: シミ全てに「※日焼けによる」を付けるか),化粧品等,微妙 (ケースバイケース),強調表示に近接が基本だが全てに必須ではない。消費者庁ガイドラインは「総合的に判断」。消費者テスト推奨。,-
中鎖脂肪酸、ラウリン酸を関与成分とする機能性表示,機能性表示食品,微妙 (受理例あり),飽和脂肪酸は原則対象外だが、「作用機序が異なる」等の理由で受理された例あり。建て付け次第。,ノコギリヤシエキスを関与成分としラウリン酸を指標成分とする方法も。
関与成分のネーミング (独自名称、例: プラズマ乳酸菌),機能性表示食品,条件付きOK,第三者が名称から化合物を特定でき、学会等でコンセンサスが得られた一般的名称なら可。複数論文等での使用実績要。,-
ニンニクサプリでアリインを関与成分とし疲労感軽減,機能性表示食品 (サプリ),OK,受理実績あり。,-
上記広告で「スタミナアップ」,機能性表示食品 (サプリ),NG,「疲労感軽減」は主観的であり、客観的な「スタミナアップ」は逸脱。,-
上記広告で「ビタミンB1の吸収を高める」,機能性表示食品 (サプリ),NG,「AがBの吸収を高める」は別の機能性であり逸脱。,-
機能性表示食品と同一中身の一般食品を同一サイトで販売,機能性表示食品・一般食品,OK,横リンク等がなく、一般食品に機能性があると誤認させなければ問題ない。,-
体験談の注記「成分○○の感想です」,機能性表示食品等,有効,SRがエビデンスの場合や成分エビデンスない場合に推奨。,-
ビーカー内での炭のラー油吸着実験画像 (炭の健食LP),健康食品・サプリメント,条件付きOK,厚労省通知に基づき、「あくまでもビーカー内の話で体の話ではない」と明記すれば薬機法違反ではない。,-
上記画像+コメント「炭は食べた脂質が体に吸収されずに排出されるよう油分を吸着」,健康食品・サプリメント,NG,体内の話に繋げているため薬機法違反。,-
タウリン配合 (健食パッケージ),健康食品・サプリメント,条件付きOK,化学物質由来なら医薬品成分だが、動植物由来なら必ずしも該当せず。添加物使用の場合もある。由来等明確化要。,-
体の中から潤う,健康食品・サプリメント,条件付きOK,体内への直接作用を暗示しない表現へ,インナーケアで日々の生活にうるおいを
アルコール代謝を促進,健康食品・サプリメント,NG（代謝促進）,身体機能への作用は医薬品的効能,・アルコールに関わります ・夜のお付き合いが多い方に
肝臓の健康をサポート,健康食品・サプリメント,NG（臓器への作用）,特定臓器への作用は不可,お酒好きの健康をサポート
脂肪の消化をサポート,健康食品・サプリメント,NG（消化作用）,消化機能への作用は不可,・脂肪を含む食事との相性がいい食品 ・脂っこい食事をサポート
髪、肌、爪の健康をサポート,健康食品・サプリメント,条件付きOK,美容目的なら可能,見た目の健康をサポート
ビタミンCと相乗的に効果を発揮します,健康食品・サプリメント,NG（効果発揮）,薬理作用的な表現,ビタミンCと相性がいい
回復をサポート,健康食品・サプリメント,NG（回復は医薬品的）,疲労回復等を暗示,リカバリーをサポート
更年期,健康食品・サプリメント,NG（疾病関連）,更年期障害を想起,ゆらぎ世代
漢方、漢方薬,健康食品・サプリメント,NG（医薬品）,医薬品カテゴリーの表現,和漢植物
アーユルヴェーダ成分,健康食品・サプリメント,条件付きOK,医薬品的効能を暗示しない表現へ,・インドで伝統的に使われてきた成分 ・古代インドの知恵
諸外国で医薬品として使用されています,健康食品・サプリメント,NG（医薬品暗示）,医薬品であることの暗示,諸外国でも親しまれています
風邪予防に,健康食品・サプリメント,NG（疾病予防）,疾病の予防は医薬品的効能,季節の変わり目の栄養補給に
心をリラックス,健康食品・サプリメント,条件付きOK,精神への作用を暗示しない表現へ,・リラックスタイムのお供に ・張り詰めた1日の終わりに
ストレス対策,健康食品・サプリメント,NG（症状対策）,ストレスという症状への対策,毎日慌ただしい日々を過ごしている方へ
免疫サポート,健康食品・サプリメント,NG（免疫機能）,免疫機能への作用は医薬品的効能,・バリアサポート ・病気に負けない体つくりをサポート
抵抗力を高める,健康食品・サプリメント,NG（身体機能向上）,身体機能の向上は医薬品的効能,・日々の健康のために ・健康維持のために
疲れがとれにくい,健康食品・サプリメント,NG（疲労回復暗示）,疲労回復は医薬品的効能,・若々しさをケア ・健康的な毎日のために ・翌朝から思い切って仕事をするために
疲れが溜まっている方に,健康食品・サプリメント,NG（疲労回復暗示）,疲労回復を暗示,・1日頑張ったご褒美に ・何か元気が出ない人に
良い眠りのために,健康食品・サプリメント,条件付きOK,睡眠改善を暗示しない表現へ,おやすみタイムに
睡眠に、眠りの質が気になる方に,健康食品・サプリメント,NG（睡眠改善）,睡眠の質改善は医薬品的効能,・翌朝スッキリしたい方に ・スッキリした朝を迎えたい方に
筋力を高めたい方へ,健康食品・サプリメント,NG（筋力向上）,身体機能の向上は不可,・より高度な筋肉トレーニングを求めている方へ ・筋肉トレーニング時の効率的な栄養補給を求めている方へ
筋肉疲労を遅らせます,健康食品・サプリメント,NG（疲労への作用）,疲労への作用は医薬品的効能,筋肉トレーニングのリセットに
デトックス,健康食品・サプリメント,NG（解毒作用）,解毒・体内浄化は医薬品的効能,・キレイをつくる（内側からキレイに） ・毎日イキイキした生活
新陳代謝を促す,健康食品・サプリメント,NG（代謝促進）,代謝促進は医薬品的効能,体力作りをサポート
消化改善,健康食品・サプリメント,NG（消化機能改善）,消化機能の改善は医薬品的効能,・毎日の快調 ・気持ちいい食後のサポート
便秘、お通じ,健康食品・サプリメント,NG（症状）,便秘は疾病・症状,・爽快気分 ・毎朝スッキリ ・生活リズムを整える
便秘解消,健康食品・サプリメント,NG（症状解消）,症状の解消は医薬品的効能,重苦しい毎朝がスッキリ
血液サラサラ,健康食品・サプリメント,NG（血液性状変化）,血液性状の変化は医薬品的効能,青魚のサラサラ成分
血糖値が気になる方に,健康食品・サプリメント,NG（疾病指標）,血糖値は疾病の指標,・甘いものが気になる方に ・甘いものが我慢できない方に
冷え性,健康食品・サプリメント,NG（症状）,冷え性は症状,夏でもカーディガンが手放せない方に
若返りの秘訣！,健康食品・サプリメント,NG（若返り）,若返りは医薬品的効能,・若々しさの秘訣 ・いつまでも若々しい生活を送りたい人へ ・10歳年下の妹に間違えられました
若返る,健康食品・サプリメント,NG（若返り）,身体の若返りは不可,・若々しさ ・ベストコンディション
長寿,健康食品・サプリメント,条件付きOK,寿命延長を暗示しない表現へ,いつまでも若々しい日々を送る
生理痛が気になる方に,健康食品・サプリメント,NG（症状）,生理痛は症状,女性特有の悩みをお持ちの方に
女性ホルモンを刺激,健康食品・サプリメント,NG（ホルモン作用）,ホルモンへの作用は医薬品的効能,・女子力アップ ・女性美のために
妊活におすすめ,健康食品・サプリメント,NG（妊活）,不妊治療を暗示,妊娠前や妊娠時に不足しがちな栄養補給
男性機能、夜もバッチリ,健康食品・サプリメント,NG（性機能）,性機能への作用は医薬品的効能,・精力的な生活をサポート ・下半身の健康をサポート ・男らしさをバックアップ ・男性のチカラに ・年齢を重ねても現役でいたい人のために
