表現 (問題となった広告表現など),製品カテゴリ,判定,理由,代替表現（可能な場合）
かかとの垢や皮がボロボロとれる (ピーリング剤),化粧品 (ピーリング剤),OKに近い,「垢や皮」が汚れや古い角質であれば角質層までの作用としてOK。,-
小顔メイク、矯正ファンデ (アルビオン),化粧品 (ファンデーション),微妙 (矯正部分),「小顔メイク」は色彩効果ならOK。「矯正」は物理的効果のニュアンスがあり、狭義の物理的効果がないとNG。,-
ＰＲＯが仕立てたようにフォルムまでもきれいに魅せる美しさを形状記憶した強靭なヴェール。『小顔』といえばタイトルフィルムファンデーション。,化粧品 (ファンデーション),OK (要エビデンス),色彩効果または物理的効果として、エビデンスがあればOK。後者のエビデンスは難しい。,-
フェイスシートでニキビ予防 (洗顔料として),化粧品 (フェイスシート),NG (原則),洗顔料としての実態がなく、ふき取り行為による効果としてもエビデンス必要。,-
夏に傷んだ髪を修復,化粧品 (ヘアケア),NG,元に戻る表現は不可。,夏に傷んだ髪を補修
毛髪の紫外線防止効果,化粧品 (ヘアケア),条件付きOK,定められた測定基準はないが、カットのロジックで言及可。独自エビデンス必要。,-
朝用フェイスマスク,化粧品 (マスク),OK,用法用量表現。「朝専用」はNG。,-
まつ毛リキッド××でまつ毛グロー,化粧品 (リキッド),NG,「グロー」は育毛に匹敵し部外品限定。,健やかに保つ
安心・安全の商品 (化粧水),化粧品 (化粧水),NG,安全性の保証となり適正広告基準違反。,良心設計の商品
目の下がふっくら (化粧水),化粧品 (化粧水),微妙 (注記付き),機能的表現だが、「＊角層が保湿で潤うこと」と注記すれば微妙。,-
××化粧水でコラーゲンを生み出す。,化粧品 (化粧水),NG,機能的表現であり、効能範囲外。,※部外品の作用機序としてならOK。
ビタミンC入りで肌にやさしい (化粧水プロモーション),化粧品 (化粧水),OKに近い,成分に対する「肌にやさしい」は虚偽・不正確でなければOK。,-
パラベンフリーで肌にやさしい (化粧水プロモーション),化粧品 (化粧水),NG,パラベン含有品への他社誹謗にあたる。,-
お肌のチカラがしっかり機能するように作られた化粧水,化粧品 (化粧水),NG,「機能」は刺激的なワード。,お肌のチカラがしっかり発揮させる、お肌のチカラをしっかりサポートする
化粧水△△でお肌の酸化を防ぎましょう,化粧品 (化粧水),NG,酸化の予防もNG (都庁見解)。,環境ダメージからお肌を守る
化粧水△△でお肌のサビを防ぎましょう,化粧品 (化粧水),NG,サビの予防もNG (都庁見解)。,環境ダメージからお肌を守る、お肌を還元
ターンオーバーの乱れを防ぐ (化粧水),化粧品 (化粧水),OKに近い (ギリギリ),乱れるのを整えるのはNGだが、乱れないようにする趣旨ならOK。「保湿によりターンオーバーをサポートする」ならギリギリ。,保湿によりターンオーバーをサポートする
たるんだ肌へ (化粧水),化粧品 (化粧水),NG,たるみ改善と解釈されるため。,ハリのない肌へ、ハリなし肌へ
リフトアップ (化粧水),化粧品 (化粧水),NG,たるみ改善と解釈されるため。,ハリのない肌へ
気になる目元の専用化粧水,化粧品 (化粧水),NG (「専用」部分),「目元」という部位指定はOKだが、「専用」は適正広告ガイドラインでNG。,目元のための化粧水
化粧水でクスミをとる,化粧品 (化粧水),NG,「洗えば取れる」ロジックが成り立たず、肌内部の改善も効能範囲外。,化粧水でクスミのケア (ギリギリ)、化粧水で肌の粉吹きを抑える
フェロモン香水で「恋愛運が高まり結婚できた」体験談,化粧品 (香水),NG (景表法),「恋愛運」はOKだが、「結婚できた」は具体的便益で景表法対象 (根拠なければNG)。,-
口腔内細菌数を測定し、使用前後で変化を広告 (オーラルケア商品),化粧品 (歯磨き剤等),NG,実験例示は保証表現にあたりNG。一般化粧品で除菌等の作用も言えない。,-
石けん（一般化粧品）で殺菌！,化粧品 (石鹸),NG,殺菌は薬用化粧品 (殺菌剤主剤) 限定。,石けん（一般化粧品）で抗菌！
顔ダニキラーの××石けん（一般化粧品）,化粧品 (石鹸),NG,「キラー」は殺菌を意味し、薬用限定。,顔ダニを寄せ付けない××石けん（一般化粧品）
石鹸でクスミをとる,化粧品 (石鹸),条件付きOK,外部的な汚れや老廃物によるクスミを洗って取る趣旨ならOK。※「汚れや老廃物によるもの」等の注記が必要。,-
頭皮美容液でフケ・カユミ訴求,化粧品 (頭皮美容液),OK (薬機法) / 要エビデンス (景表法),化粧品カテゴリーの垣根なく効能(11)(12)は訴求可能。景表法上エビデンス推奨。,-
導入液Aは美容液Bの浸透を高める (ブースター),化粧品 (導入液),NG (薬機法),化粧品56効能外。,次に使う美容液の浸透を助ける (※商品名出さず)
全成分表示しない「キャリーオーバー成分」の判断 (製造助剤の界面活性剤),化粧品 (入浴料),NG,効果(剥離促進等)を発揮させるための成分はキャリーオーバー定義外。,全成分表示に記載する。
成分特記表示 (コラーゲン、ヒアルロン酸),化粧品 (美容液),条件付きOK,強調表示でなければ配合目的併記不要 (文章中の記載は特記表示にあたらない)。強調する場合は配合目的 (例: 保湿成分) が必要。,-
パッチリ二重 (美容液),化粧品 (美容液),条件付きOK,粘着効果による物理的効果ならOK。※「＊粘着効果」と注記推奨。,-
美容液でコラーゲンを補給する,化粧品 (美容液),OK,機能的表現ではないため。,-
美容液がコラーゲンを育む,化粧品 (美容液),微妙 (ギリギリ),「産む」より弱いが機能的表現に近い。,-
美容液がコラーゲンをプロデュースする,化粧品 (美容液),微妙 (さらにギリギリ),「育む」よりさらに機能性が弱いため。,-
美容液がコラーゲンを生成する力を守る,化粧品 (美容液),微妙 (アウトに近い),「生成する」とは言っていないが、示唆が強い。,-
美容液で大人ニキビ防止 (一般化粧品),化粧品 (美容液),NG,一般化粧品で「ニキビ予防」が言えるのは洗顔料のみ。,オイリートラブルをケア
美容液で大人ニキビを撃退,化粧品 (美容液),NG,薬用でも「予防」まで。,美容液で大人ニキビを予防 (薬用の場合)
ニキビ (美容液・一般化粧品),化粧品 (美容液),NG,一般化粧品で「ニキビ」が言えるのは洗顔料限定。,※美容液を洗顔料として使用するなら可。
敏感肌用美容液,化粧品 (美容液),OK (要エビデンス・注記),公正競争規約で認められている。パッチテスト等のエビデンスと「〇時間パッチテスト済み」等の注記が必要。,-
美容液××が皮脂の分泌をコントロールします。,化粧品 (美容液),NG,機能的な表現のため。,皮脂のバランスを整える
美容液が皮脂のバランスを整える,化粧品 (美容液),条件付きOK,肌表面の皮脂状態調整なら機能的表現ではなくOK。,-
深い溝を埋める美容液,化粧品 (美容液),NG,メイク系ならOKだが、美容液ではシワ解消の暗示となり不可。,表情線に (ギリギリ)
美容液広告の「くすみ」注釈：「乾燥により肌がくすんで見える状態」または「汚れや古い角質による」,化粧品 (美容液),どちらもOK,どちらも化粧品の効能範囲 (保湿、古い角質ケア) で説明可能。事実に基づき選択。,-
更年期の女性のホルモンバランスの乱れが原因→本品で解決→おすすめ (育毛剤),化粧品 (部外品),NG (ホルモンバランス解消部分) / OK (作用機序として、要エビデンス),ホルモンバランス解消は承認効能外。作用機序 (ホルモンバランス乱れ解決→育毛) としてならエビデンスあれば訴求可。,-
氷点下 (l-メントール配合育毛剤),化粧品 (部外品),NG,-,-
染毛剤で「手軽」「やさしい」,化粧品 (部外品),NG (業界自主基準),工業会自主基準でNG。,※染毛料(化粧品)なら制限なし。
有効成分○○が頭皮の皮脂腺を正常化して油っこい頭皮を解消 (育毛剤),化粧品 (部外品),NG (正常化部分) / OK (作用機序として、要エビデンス),「皮脂腺正常化」は言えない。「油っこい頭皮をスッキリ」ならOK。作用機序としてなら「正常化」もエビデンスあれば可。,有効成分○○が油っこい頭皮をスッキリさせます
コラーゲン産生、繊維芽細胞を活性化 (シワ改善部外品の作用機序として),化粧品 (部外品),OK (要エビデンス),部外品はエビデンスがあれば作用機序を訴求可能。承認効能 (シワ改善) の範囲を超えないこと。,-
育毛剤ビフォーアフター: 分け目から毛が生える,化粧品 (部外品),NG,承認効能「発毛促進」を超え「発毛」を示唆するため。,-
育毛剤ビフォーアフター: 毛が太くなる,化粧品 (部外品),NG,承認効能外。,-
育毛剤ビフォーアフター: 髪のボリュームアップ (ぺっちゃんこ→ボリューミー),化粧品 (部外品),OK,承認効能「毛生促進」の範囲内。,-
冷凍庫での保管をおすすめ (冷感育毛剤),化粧品 (部外品),OK (使用感レベルなら),※「満足度アップ」等は使用感超えるためNG。,冷やして使うことで快適に使える、冷やして使用すると冷却刺激によって快適に使用できる
人気NO1 (育毛剤LP),化粧品 (部外品),OK,「人気」は効能効果・安全性ではないため、適正広告基準違反ではない。,-
育毛剤広告で保湿効果 (例: 肌を潤わせ乾燥トラブルを防ぐ),化粧品 (部外品),NG (原則),育毛剤は薬用化粧品ではないため、化粧品の効果 (保湿) は原則謳えない。,※有効成分のサポート (頭皮保護、使用感向上) 程度なら可。作用機序としてならエビデンスあれば可。
生薬由来の有効成分配合 (育毛剤),化粧品 (部外品),OK,事実で有効成分であればOK。,-
保湿成分〇〇エキス配合 (湿潤剤として承認),化粧品 (部外品),OK,湿潤剤と保湿成分は同義のため。,-
アイスタイプ、冷感、ICE、ひんやり (l-メントール配合育毛剤),化粧品 (部外品),OK,実際に冷感の使用感があればOK。,-
手足の冷えに (入浴剤・部外品),化粧品 (部外品),NG,承認効能「冷え症」を逸脱。部位限定不可。,冷え症に
複数の承認効能のうち特定の一つを広告,化粧品 (部外品),OK,適正広告基準で認められている。,-
育毛剤の無料貸し出し→使用分補充・費用請求 (美容室),化粧品 (部外品),条件付きOK,化粧品の分割販売にあたり、顧客の求めに応じる、法定表示、衛生環境保持が必要。,-
女性専用 (育毛剤),化粧品 (部外品),NG (粧工連),粧工連ガイドラインでNG。,女性用
円形脱毛症に (育毛剤),化粧品 (部外品),NG,特定の脱毛症への効果は医薬品限定。,脱毛に
育毛剤××で白髪予防,化粧品 (部外品),NG,育毛剤でも白髪予防は言えない。「豊かな黒髪を育てる」程度。,豊かな黒髪を育てる
発毛抑制 (医薬部外品),化粧品 (部外品),NG,除毛はOKだが発毛抑制は異なる。,ムダ毛が気にならなくなった
ゲルマで発汗 (入浴剤・部外品),化粧品 (部外品),NG,発汗は言えるが、ゲルマによる発汗は言えない。,ゲルマ風呂でリフレッシュ。有効成分△△が温浴効果を高め、発汗を促します。
ニキビに (医薬部外品化粧水),化粧品 (部外品),条件付きOK,「防ぐ」か「治す」か不明瞭。「ニキビ防止の意味です」と注釈し、部外品明記が必要。,ニキビを防ぐ
有効成分が真皮まで浸透 (シワ改善部外品),化粧品 (部外品),OK (要エビデンス),部外品はエビデンスがあれば作用機序として訴求可能。,-
深いシワを改善 (シワ改善部外品),化粧品 (部外品),微妙,「シワを改善」はOKだが、「深い」が効能逸脱・保証違反と見られる可能性。,”悩みの深い”シワを改善
薬用ハミガキ(洗口液)で非有効成分XYZの効果として「XYZとブラッシングで歯を白くする」,化粧品 (薬用),NG,ホワイトニング効果は有効成分によるもの。非有効成分の効果としては訴求不可。,-
薬用化粧品の一般化粧品的効果「保湿力UP」(美白美容液),化粧品 (薬用),OK,部外品本来の目的を隠蔽せず、保健衛生上問題なければOK。,-
薬用化粧品の一般化粧品的効果「爪の美白効果」(美白美容液),化粧品 (薬用),NG (通常),爪への用法が承認されていなければ不可。,-
背中ニキビ用 (薬用化粧水),化粧品 (薬用),NG (原則),背中ニキビ対象が承認されていなければNG。広告でもリスクあり。,-
強い効果 (薬用化粧品),化粧品 (薬用),NG (粧工連),粧工連ガイドラインでNG。,感動的効果、広く愛される効果
肌あれ (薬用化粧品の効能),化粧品 (薬用),NG (「肌あれ解消」は不可),薬用でも「肌荒れ防止」まで。,肌荒れを防ぐ
アクネ菌を殺菌 (薬用洗顔料),化粧品 (薬用),NG (通常),通常、薬用化粧品ではアクネ菌殺菌は承認されていない。,-
シミの記憶をゼロ化へ (美白美容液 HAKU),化粧品 (薬用),OKに近い,「シミをゼロへ」はNGだが、「記憶をゼロ化へ」は意味不明瞭なため不可ではない。,-
シミ抑制 (薬用美白化粧品),化粧品 (薬用),条件付きOK,「抑制」は「予防」とも「今あるシミを抑える」とも取れるため、「シミ予防」の注釈 (「日焼けによる」も含む) が必要。,シミ予防
夏のシミ対策 (薬用美白化粧品),化粧品 (薬用),NG (単独),「予防」省略はNG。,※「日焼けによるシミを防ぎます」という注釈を付ければOK。
△△（薬用化粧品）で、肌色が白くなった。,化粧品 (薬用),条件付きOK,※「メラニンの生成を抑え、日焼けによるシミ・ソバカスを防ぐ。」の注記が必要。,-
シミの根を絶つ (薬用化粧品),化粧品 (薬用),OK,「メラニンの生成を抑える」効果から説明可能。,-
美白ケア (美白剤・薬用化粧品),化粧品 (薬用),NG,「予防」しか言えないため「ケア」は逸脱。※「美白」には「メラニンの生成を抑え、シミ・ソバカスを予防」の注記も必要。,美白予防
薬用ハミガキ+LED照射でホワイトニング,化粧品 (薬用) / 医療機器,NG,薬用ハミガキは単体でホワイトニング可。LEDとの組み合わせは承認外。LED機器の効果も限定的。,-
化粧品+Somethingのセット (美白剤入り美顔器),化粧品 (薬用) + 医療機器,注意必要,美白剤の用法が承認制。「この美顔器専用」はNG。「この美顔器で使うと実力を発揮」のような表現。,-
着る化粧品 (アミノ酸由来成分でうるおい訴求),化粧品 / 衣料品,微妙 (ダブル表示推奨),成分効果なら化粧品、衣の効果なら衣料品。両方の価値がある場合は両方の表示をすべき。,-
歯磨き類で「美白」「ホワイトニング」,化粧品 / 化粧品 (薬用),OK,スキンケアとは異なり、「美しく白い」の意味で使用可。一般化粧品はブラッシング併用。,-
化粧品+サプリのセット広告,化粧品 + 健康食品,注意必要,全体で化粧品の効能 (例: 髪) を超えないように。サプリの効果が化粧品にもあると誤認させない構成。,-
へそゴマクリーナー (フォーム+綿棒),化粧品 + 雑貨,微妙 (医療機器リスク),綿棒挿入は粘膜損傷リスクあり医療機器扱いの可能性。コットン使用なら非医療機器OK。,コットンでふき取る形式に変更。
化粧品+Somethingのセット (化粧水を浴びせるシャワー),化粧品 + 雑貨,OK (要表示),化粧品としての法定表示 (製販、全成分等) が必要。,-
コラーゲン美容液とコラーゲンサプリを同一紙面で広告,化粧品・健康食品,注意必要,広告自体はOKだが、健食が「美肌」を標榜できないため、化粧品の美肌効果も謳えなくなる。,-
化粧品・部外品のビフォーアフター写真 (強烈な変化),化粧品・部外品,微妙 (保証禁止違反リスク),効能範囲内でも、強烈な変化は適正広告基準3(5)保証禁止違反とされる可能性あり。,-
"歯のホワイトニングB/Aコメント「3か月ぶりの歯科検診で""ずいぶん白くなったね""と言われました」",化粧品・部外品 (歯磨き等),OK,期間を直接示さずコメントで表現しているため。,-
化粧品等の体験談で効果効能を標榜,化粧品・部外品・医薬品・医療機器,NG,適正広告基準で原則禁止。,使用感 (スーッと伸びる等) のみOK。期待感、第三者トークはOK。
LED照射機器 (雑品) をホワイトニングジェル (化粧品/部外品) とセット販売,化粧品/部外品 + 雑貨,条件付きOK,セット販売自体はOKだが、LED照射をホワイトニング手法として説明するとNG。LEDは別目的 (メンテナンス等) で説明。,-
定期初回無料、2回目以降割引、初回解約時差額請求プラン,化粧品等,OK,通常価格分請求は過大な負担要求ではない。,※解約条件、差額請求について明確に記載必要。
注釈 (※) の仕方 (例: シミ全てに「※日焼けによる」を付けるか),化粧品等,微妙 (ケースバイケース),強調表示に近接が基本だが全てに必須ではない。消費者庁ガイドラインは「総合的に判断」。消費者テスト推奨。,-
中鎖脂肪酸、ラウリン酸を関与成分とする機能性表示,機能性表示食品,微妙 (受理例あり),飽和脂肪酸は原則対象外だが、「作用機序が異なる」等の理由で受理された例あり。建て付け次第。,ノコギリヤシエキスを関与成分としラウリン酸を指標成分とする方法も。
関与成分のネーミング (独自名称、例: プラズマ乳酸菌),機能性表示食品,条件付きOK,第三者が名称から化合物を特定でき、学会等でコンセンサスが得られた一般的名称なら可。複数論文等での使用実績要。,-
ニンニクサプリでアリインを関与成分とし疲労感軽減,機能性表示食品 (サプリ),OK,受理実績あり。,-
上記広告で「スタミナアップ」,機能性表示食品 (サプリ),NG,「疲労感軽減」は主観的であり、客観的な「スタミナアップ」は逸脱。,-
上記広告で「ビタミンB1の吸収を高める」,機能性表示食品 (サプリ),NG,「AがBの吸収を高める」は別の機能性であり逸脱。,-
機能性表示食品と同一中身の一般食品を同一サイトで販売,機能性表示食品・一般食品,OK,横リンク等がなく、一般食品に機能性があると誤認させなければ問題ない。,-
体験談の注記「成分○○の感想です」,機能性表示食品等,有効,SRがエビデンスの場合や成分エビデンスない場合に推奨。,-
ビーカー内での炭のラー油吸着実験画像 (炭の健食LP),健康食品,条件付きOK,厚労省通知に基づき、「あくまでもビーカー内の話で体の話ではない」と明記すれば薬機法違反ではない。,-
上記画像+コメント「炭は食べた脂質が体に吸収されずに排出されるよう油分を吸着」,健康食品,NG,体内の話に繋げているため薬機法違反。,-
タウリン配合 (健食パッケージ),健康食品,条件付きOK,化学物質由来なら医薬品成分だが、動植物由来なら必ずしも該当せず。添加物使用の場合もある。由来等明確化要。,-
EGF含有プラセンタ (豚由来),健康食品 (ドリンク),OK,医薬品成分とされるEGFはヒト由来。豚由来と明示すればOK。,-
特定成分が「含まれていない」表示 (実際は微量含有),健康食品 (ヨーグルト系),条件付きOK,ビタミンK等、基準未設定成分は他成分に準じ100g中0.1g未満なら可か。,-
特許表示 (パッケージ),健康食品 (栄養ドリンク),条件付きOK,製法・方法特許は容器・パッケージ限定で表示OKだが、特許タイトルが薬機法違反表現 (例: 腸内バランスを整える) なら不可。,製法特許取得 (タイトル記載なし)
衣類にスプレーする虫よけ (忌避剤),雑貨,OK,間接的な使用は忌避剤 (部外品) に該当しない。,-
天然由来成分のコバエよけ、「コバエの殺虫」効果も記載 (雑品),雑貨,NG,コバエは衛生害虫。「コバエよけ (忌避)」「殺虫」ともに部外品承認が必要。,-
ダニが嫌がる成分配合、※屋内塵性ダニ類の忌避効果を確認 (ペット用消臭剤),雑貨,NG,「忌避」を訴求し、対象が衛生害虫 (屋内塵性ダニ類) なので忌避剤 (部外品) に該当。,-
スーパーミリオンヘアー的な商品 (粉でボリュームアップ),雑貨,条件付きOK,地肌に振りかけ黒く見せるなら雑品OK。「粉が髪に付着」は化粧品定義に触れるため「粉が髪をカバー」等が無難。,粉が髪をカバーし、髪が生えたような仕上がりになる
まつげエクステ用グルー (雑貨扱い),雑貨,OK,美化目的等に合致せず化粧品定義外。,-
アンファーの「スカルプDと毛髪ホルモン量測定キット」セット販売,雑貨 (検査キット) / 化粧品 (部外品),微妙 (ホルモン量測定部分),将来リスク評価はOKだが、DHT量等を示すのは非医療機器としてNG。,-
遺伝子検査でハゲのリスクを診断し、結果に応じて育毛剤等を勧める,雑貨 (検査キット) / 化粧品 (部外品) 等,NG,診断自体はOKだが、出口に育毛剤等があると、検査キットも薬機法対象となりNG。,-
無添加 (添加物として記載するものがない場合),食品,条件付きOK,他の類型(例:類似機能の原材料使用)に該当せず、過度な健康・安全関連付けや強調なければ可。,-
本品は低GI食品です,食品,微妙 (注記推奨),体の変化とも取れる。「糖質の吸収が穏やか」の意味と注記すればOK。,-
本品は糖質の吸収が穏やかな低GI食品です,食品,OK,体の変化ではなく食品の性質のため。,-
本品は食後の血糖値が上がりにくい低GI食品です,食品,NG,体の具体的変化を述べているため。,-
小児用流動食,食品,OK,病者用等の特別用途食品とは異なるため。,-
無添加、天然、自然、遺伝子組み換え不使用 (はちみつ),食品 (はちみつ),NG (一部条件付きOK),「無添加」は何が無添加か明示すべき。「天然」「自然」は「純粋」「Pure」に統一(規約)。「遺伝子組み換え不使用」は対象食品以外NG。,添加物〇〇不使用、純粋、Pure
顧客の健康状態測定→商品販売 (睡眠状態測定→睡眠グッズ推奨),睡眠グッズ等,注意必要 (医師法リスク),病名診断や治療アドバイスは医師法違反。医療行為を伴う測定 (血液検査等) も不可。,-
アトピー／アトピー肌／アトピー性皮膚炎,化粧品,NG,皮膚の疾病や状態の治療・回復を示唆し、医薬品的な効能効果の範囲を逸脱するため。,「敏感肌用」「肌にやさしい」「配慮した品質管理」
アロマ効果／アロマテラピー／アロマセラピー,化粧品,NG,精神への作用や肌の回復・血行促進などの医薬品的な効能効果を示唆し、治療や医療行為を指す言葉であるため。,「アロマ」「心地よい香り」「いい香り」
安心・安全」「信頼」,化粧品,NG,効能効果や安全性を保証する表現は禁止されているため。,「良心設計の商品」「肌に優しい」「おだやか」
アンチエイジング」「若返り」「老化防止」「抗加齢」,化粧品,NG,若返りや老化防止を示唆し、化粧品で認められる効能効果の範囲を逸脱するため。,「エイジングケア※年齢に応じた、化粧品等によるお手入れのこと」、「年齢対策」、「若々しさ」「ハツラツ、イキイキ」「実年齢より若く見える」「老けて見えなくなった」
医師や薬剤師、美容師などの専門家による商品の推薦,化粧品,NG,医薬関係者等の推薦は、事実であっても消費者に効能効果や安全性の保証と誤解を与える影響が大きいため。,「美容のプロ」「皮膚の専門家」
傷んだ肌／荒んだ肌」「かぶれ」の回復・改善表現,化粧品,NG,皮膚の疾病や状態の回復・改善を示唆し、医薬品的な効能効果の範囲を逸脱するため。,「ハリのない肌」「キメの乱れた肌」「肌荒れを防ぐ」（予防であれば可）
癒す」「再生」「復活させる」「よみがえる／甦る／蘇る」「リフトアップ」,化粧品,NG,治療的・回復的な効能効果を示唆し、化粧品で認められる効能効果の範囲を逸脱するため。,「リラックスタイムにお使いください」「潤いがよみがえる（保湿による）」「みずみずしい肌に」「ハリが満ちる」「気持ちが上がる肌」
万能クリーム,化粧品,NG,効能効果や安全性に関する最大級の表現にあたるため。,「良い使い心地」「お宝クリーム」
毛穴を引き締める」（化粧品自体が毛穴の形状を変化させる場合）,化粧品,NG,毛穴そのものの形状を変化させることは化粧品の効能範囲を逸脱する。メイクアップ効果や汚れ除去によるものは例外。,「肌をひきしめる」「毛穴を目立たなくする※メーキャップ効果による」「毛穴を目立たなくする※洗顔による毛穴汚れの除去により」「毛穴を目立たなくする※潤いによる肌調整」「毛穴が気にならない」
シミが消えた」「シミをなくす」,化粧品,NG,シミの治療・解消を示唆し、医薬部外品で認められるのは「メラニンの生成を抑え（日やけによる）シミ・ソバカスを防ぐ」のみ。,「シミを目立ちにくくする※メーキャップ効果による」「日焼けによるシミを防ぐ」
〜専用／専門」,化粧品,NG,効能効果や安全性について保証を与える恐れがあるため。特定の用途にしか使用しない場合や、化粧品基準に基づくものは例外。,「〇〇用」
疲労」「解毒」「年を感じさせない肌」,化粧品,NG,身体の治療・回復作用を示唆するため。,「肌をしなやかにする」「年を重ねても美しい肌」
体調」（身体の機能変化を示唆する場合）,化粧品,NG,体温調節能力など身体の機能変化を示唆するため。,「気になる体調」
処方」（医薬品的な文脈で、健康食品・化粧品に）,化粧品,NG,医薬品的なニュアンスが強く、誤解を招くおそれがあるため。化粧品は運用上許容される場合もあるが、健康食品は避けるべき。,「配合」
即効,化粧品,NG,医薬品的な表現であり、「すぐに効く」ことを意味するため。,「速攻」 (身体への効果でない場合)
体内」の変化を謳う表現,化粧品,NG,健康食品・化粧品は「体内」の変化を謳うことができないため。,「内側から身体環境に作用する」「中から身体をきれいにする」
有用／有用成分,化粧品,NG,医薬品的な効能効果の示唆となるため。,「有用成分」 (表現そのものを指す)
幹細胞化粧品／幹細胞コスメ,化粧品,NG,肌の（幹）細胞への作用を謳うものであればNG。成分の由来を示す場合はOK。,「植物幹細胞由来の意味」（注釈付き）「幹細胞培養上清液」
抗酸化力」「肌の酸化を防ぐ」「肌のサビを防ぐ」,化粧品,NG,化粧品の効能として「抗酸化」は謳えないため。,「美容パワー」「ダメージケアパワー」「環境ダメージからお肌を守る」「お肌を還元」
角質層の先まで浸透」「肌へ浸透」「肌内部のいくつもの層」「肌の奥深く」,化粧品,NG,化粧品の浸透は「角質層まで」と限定されているため。,「角質層へ浸透」「角質層のすみずみへ」
殺菌」「顔ダニキラー」,化粧品,NG,殺菌効果は薬用化粧品（殺菌剤主剤のもの）に限定されるため。,「抗菌」「寄せ付けない」
肌の機能がしっかり機能するように」「肌の新陳代謝を向上」「お肌の血行促進」,化粧品,NG,機能性を示唆する表現や、効能範囲を逸脱する表現であるため。,「お肌のチカラがしっかり発揮させる」「お肌のチカラをしっかりサポートする」「肌リズムを整える」「お肌本来の力をサポート」
皮脂の分泌をコントロール,化粧品,NG,皮脂の分泌量そのものを制御する機能を示唆するため。,「皮脂のバランスを整える」「お肌の皮脂量を減らす／取る」（肌表面の皮脂状態の調整であれば）
抗炎症効果,化粧品,NG,医薬品的表現であるため。,「お肌もやさしく守ります」
○○無添加だから肌にやさしい,化粧品,NG,特定の成分を含まないことを強調することで、他社製品を誹謗する可能性があるため。,「肌のことを考えて○○無添加」（ただしリスクあり）、「無添加である旨のみを表示」
化粧品広告での「シミ」のビフォーアフター写真,化粧品,NG,「防ぐ」という効能効果を使用前・後の写真で表現することは不可能とされており、効能範囲を逸脱する印象を与えるため。,医薬部外品であれば「メラニンの生成を抑え、シミ・ソバカスを防ぐ」ことを明確にする。
メイク落としの「使用前後」表現,化粧品,NG,汚れの除去も化粧品の効能の一つであり、肌の変化を保証する表現として規制されるため。,使用前後ではない形で印象的に伝える方法を検討する。
くすみ」の表現で「シミ」や「色素沈着」のような意味合い,化粧品,NG,化粧品の効能範囲を超えるため。,「汚れや古い角質による」（注釈付き）、「乾燥により肌がくすんで見える状態」（潤い効果による場合）
瞬間」「60秒」など、時間で速効性や作用時間を暗示する表現,化粧品,NG,医薬品等適正広告基準では速効性や作用時間の明示・暗示表現はNG。ただし、保湿効果など塗布後すぐに効果が表れるものは必ずしもNGではない。,景品表示法にも注意し、合理的な根拠がある場合に限って表示を検討。
白髪を改善し、黒髪にするシャンプー,化粧品,NG,シャンプーで髪の色の変化を謳うことはできない。物理的な着色効果のみが可能。,「黒髪を美しくはぐくむ」「白髪を若々しい印象にする」「白髪に艶を与える」
強い効果」「強力」,化粧品,NG,効能効果の最大級の表現に該当するため。,「感動的効果」「広く愛される効果」
潤いを実感,化粧品,NG,効能効果や安全性の保証と解釈されるため。,「潤いに満足」
肌の保湿力を高める成分△△配合,化粧品,NG,肌の機能自体を変えることを示唆するため。,「保湿を高める成分△配合」
肌の内側から潤う,化粧品,NG,角質層より奥への作用を示唆するため。,「お肌の内側」（注釈で「角質層」と明記）
育毛剤で円形脱毛症に,医薬部外品,NG,育毛剤は特定の脱毛症に効くような表現はできないため。,「脱毛に」
育毛剤で白髪予防,医薬部外品,NG,白髪予防は育毛剤の効能として認められていないため。,「豊かな黒髪を育てる」
育毛剤で頭皮の皮脂腺を正常化する,医薬部外品,NG,身体の機能の正常化を謳うことはできないため。,「油っこい頭皮をスッキリさせる」
シャンプー・コンディショナー（化粧品）で「育毛環境を整える」,医薬部外品,NG,「育毛」は医薬部外品の育毛剤のみが謳える効能であり、化粧品では言えないため。,「頭皮環境を整える」
育毛剤の浸透をサポートし、育毛に最適な頭皮環境を保つ,医薬部外品,NG,「育毛に最適な〜」の部分が効能を逸脱するため。,「育毛剤の浸透をサポートする」（汚れ除去による浸透補助の場合）
ヘアートニックで髪の毛を太くする,医薬部外品,NG,育毛剤であっても「毛を太くする」は効能範囲を逸脱するため。,「毛力 UP」（イメージ的な表現）
染毛剤で「手軽」「やさしい」「簡単」「安心」など,医薬部外品,NG,業界の自主広告基準でこれらのワードはNGとされているため。,なし（染毛料など一般化粧品であれば制限を受けない場合もある）
入浴剤（医薬部外品）で「手足の冷えに」,医薬部外品,NG,承認された効能が「冷え症」であり、部位を指定することは効能を逸脱するため。,なし
育毛剤で保湿効果を独立して強調する表現,医薬部外品,NG,育毛剤は医薬部外品であり、化粧品的な保湿効果をストレートに謳うことはできないため。,「頭皮の保護や使用感をよくする程度の表現」
薬用ハミガキで非有効成分によるホワイトニング効果の訴求,医薬部外品,NG,ホワイトニングの効果は有効成分からもたらされるものであり、非有効成分の機能として謳うことはできないため。,なし
